Kind,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariableInternal,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariableProtectedInternal,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodInternal,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodProtectedInternal,CountDeclMethodPublic,CountDeclProperty,CountDeclPropertyAuto,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtEmpty,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Default.rd.xml",,,,,,,0,0,0,0,31,9,5,17,,,,,0,,,0,,,,0,,,,,,,,,,,,,,,,,,,,31,0,0,0,9,0,0,0,5,0,0,,,17,0,0,0,,,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,,0,,,0,,,,"3.40",0,0,0,0
Unknown Method,"Dispose",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Method,"FindAllAsync",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Method,"Format",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"Frame",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Method,"FromIdAsync",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
File,"GPS.c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,0,0,0,,,,0,0,,,,0,0,0,,,0,0,,,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Struct,"GPS_Data",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,,,,,0,3,,0,0,,3,0,0,0,0,,0,0,,0,,,,0,,,,0,,,,0,,,0,0,0,,,,0,0,,,,,3,3,,,0,0,,,,,,,,0,0,0,0,,0,0,,0,,"0.00",0,0,0,0
Unknown Method,"GetDeferral",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Method,"GetDeviceSelector",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
File,"Gyroscope.c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,0,0,0,,,,0,0,,,,0,0,0,,,0,0,,,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
File,"Humidity.c",0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,0,,,0,0,0,,,,0,1,,,,0,0,0,,,0,0,,,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Unknown Class,"I2cConnectionSettings",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Class,"I2cDevice",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Function,"IMU.bus_open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,0,,,,3,,,1,2,0,,,,,,,1,0,,3,1,,,,2,,,1,1,1,1,,,,,,,,0,,,,"0.00",,,,
File,"IMU.c",3,19,4,55,194,41,4,4,4,1,24,3,19,4,,,,,0,,,,,,,10,,,,,,,,,,,,,,,,,,,,264,,,,55,,,,188,,,32,123,41,,,,0,6,,,,105,151,34,,,0,117,,,,,,,,6,6,9,3,,,1,,,,"0.22",41,41,44,12
File,"IMU.c",3,19,4,55,194,41,4,4,4,1,24,3,19,4,,,,,0,,,,,,,10,,,,,,,,,,,,,,,,,,,,264,,,,55,,,,188,,,32,123,41,,,,0,6,,,,105,151,34,,,0,117,,,,,,,,6,6,9,3,,,1,,,,"0.22",41,41,44,12
File,"IMU.c",3,19,4,55,194,41,4,4,4,1,24,3,19,4,,,,,0,,,,,,,10,,,,,,,,,,,,,,,,,,,,264,,,,55,,,,188,,,32,123,41,,,,0,6,,,,105,151,34,,,0,117,,,,,,,,6,6,9,3,,,1,,,,"0.22",41,41,44,12
File,"IMU.c",3,15,3,53,157,42,3,3,4,1,19,3,15,3,,,,,0,,,,,,,10,,,,,,,,,,,,,,,,,,,,234,,,,53,,,,153,,,30,95,42,,,,0,4,,,,83,120,32,,,0,88,,,,,,,,5,5,8,3,,,1,,,,"0.27",33,33,36,12
File,"IMU.c",3,19,4,56,194,41,4,4,4,1,24,3,19,4,,,,,0,,,,,,,10,,,,,,,,,,,,,,,,,,,,265,,,,56,,,,188,,,32,123,41,,,,0,6,,,,105,151,34,,,0,117,,,,,,,,6,6,9,3,,,1,,,,"0.22",41,41,44,12
File,"IMU.c",3,19,4,56,194,41,4,4,4,1,24,3,19,4,,,,,0,,,,,,,10,,,,,,,,,,,,,,,,,,,,265,,,,56,,,,188,,,32,123,41,,,,0,6,,,,105,151,34,,,0,117,,,,,,,,6,6,9,3,,,1,,,,"0.22",41,41,44,12
File,"IMU.c",3,19,4,55,194,41,4,4,4,1,24,3,19,4,,,,,0,,,,,,,10,,,,,,,,,,,,,,,,,,,,264,,,,55,,,,188,,,32,123,41,,,,0,6,,,,105,151,34,,,0,117,,,,,,,,6,6,9,3,,,1,,,,"0.22",41,41,44,12
File,"IMU.cpp",5,16,9,47,120,62,2,2,2,1,23,5,16,9,,,,,0,,,,,,,7,,,,,,,,,,,,,,,,,,,,183,,,,47,,,,114,,,16,33,62,,,,0,6,,,,76,50,17,,,0,33,,,,,,,,4,4,4,1,,,1,,,,"0.54",13,13,13,7
Function,"IMU.detectIMU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,8,,,,30,,,2,28,16,,,,,,,27,1,,30,2,,,,28,,,7,7,10,1,,,,,,,,2,,,,"0.53",,,,
Function,"IMU.detectIMU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,8,,,,30,,,2,28,16,,,,,,,27,1,,30,2,,,,28,,,7,7,10,1,,,,,,,,2,,,,"0.53",,,,
Function,"IMU.detectIMU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,8,,,,30,,,2,28,16,,,,,,,27,1,,30,2,,,,28,,,7,7,10,1,,,,,,,,2,,,,"0.53",,,,
Function,"IMU.detectIMU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,4,,,,12,,,2,10,5,,,,,,,3,0,,12,2,,,,10,,,3,3,3,1,,,,,,,,2,,,,"0.42",,,,
File,"IMU.h",0,0,0,3,7,0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,10,,,,3,,,,7,,,7,0,0,,,,0,0,,,,7,7,7,,,0,0,,,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Function,"IMU.initIMU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,9,,,,27,,,1,26,35,,,,,,,4,1,,25,1,,,,24,,,4,4,4,1,,,,,,,,1,,,,"1.30",,,,
Function,"IMU.initIMU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,9,,,,26,,,1,25,34,,,,,,,4,1,,24,1,,,,23,,,4,4,4,1,,,,,,,,1,,,,"1.31",,,,
Function,"IMU.initIMU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,9,,,,27,,,1,26,35,,,,,,,4,1,,25,1,,,,24,,,4,4,4,1,,,,,,,,1,,,,"1.30",,,,
Function,"IMU.initIMU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,1,,,,5,,,1,4,6,,,,,,,1,0,,5,1,,,,4,,,1,1,1,1,,,,,,,,0,,,,"1.20",,,,
Module File,"IMU.py",,,,,,,4,4,4,1,18,2,15,4,,,,,0,,,13,,,,12,,,,,,,,,,,,,,,,,,,,291,,,,76,,,,193,,,19,174,51,,,,,,,1,0,,173,19,,,,154,,,1,1,1,1,,7,7,10,1,,,2,,,,"0.26",58,58,61,13
Module File,"IMU.py",,,,,,,4,4,4,1,18,2,15,4,,,,,0,,,13,,,,12,,,,,,,,,,,,,,,,,,,,290,,,,76,,,,192,,,19,173,50,,,,,,,1,0,,172,19,,,,153,,,1,1,1,1,,7,7,10,1,,,2,,,,"0.26",58,58,61,13
Module File,"IMU.py",,,,,,,4,4,4,1,18,2,15,4,,,,,0,,,13,,,,12,,,,,,,,,,,,,,,,,,,,291,,,,76,,,,193,,,19,174,51,,,,,,,1,0,,173,19,,,,154,,,1,1,1,1,,7,7,10,1,,,2,,,,"0.26",58,58,61,13
Module File,"IMU.py",,,,,,,1,1,1,1,7,1,6,1,,,,,0,,,13,,,,12,,,,,,,,,,,,,,,,,,,,141,,,,54,,,,79,,,16,63,13,,,,,,,1,0,,79,16,,,,63,,,1,1,1,1,,3,3,3,1,,,2,,,,"0.16",21,21,21,13
Function,"IMU.readACCx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,1,,,,14,,,1,13,0,,,,,,,4,1,,12,1,,,,11,,,5,5,5,1,,,,,,,,1,,,,"0.00",,,,
Function,"IMU.readACCx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,1,,,,14,,,1,13,0,,,,,,,4,1,,12,1,,,,11,,,5,5,5,1,,,,,,,,1,,,,"0.00",,,,
Function,"IMU.readACCx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,1,,,,14,,,1,13,0,,,,,,,4,1,,12,1,,,,11,,,5,5,5,1,,,,,,,,1,,,,"0.00",,,,
Function,"IMU.readACCx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,1,,,,7,,,1,6,0,,,,,,,1,0,,7,1,,,,6,,,2,2,2,1,,,,,,,,0,,,,"0.00",,,,
Function,"IMU.readACCy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,1,,,,14,,,1,13,0,,,,,,,4,1,,12,1,,,,11,,,5,5,5,1,,,,,,,,1,,,,"0.00",,,,
Function,"IMU.readACCy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,1,,,,14,,,1,13,0,,,,,,,4,1,,12,1,,,,11,,,5,5,5,1,,,,,,,,1,,,,"0.00",,,,
Function,"IMU.readACCy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,1,,,,14,,,1,13,0,,,,,,,4,1,,12,1,,,,11,,,5,5,5,1,,,,,,,,1,,,,"0.00",,,,
Function,"IMU.readACCy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,2,,,,7,,,1,6,0,,,,,,,1,0,,7,1,,,,6,,,2,2,2,1,,,,,,,,0,,,,"0.00",,,,
Function,"IMU.readACCz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,1,,,,14,,,1,13,0,,,,,,,4,1,,12,1,,,,11,,,5,5,5,1,,,,,,,,1,,,,"0.00",,,,
Function,"IMU.readACCz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,1,,,,14,,,1,13,0,,,,,,,4,1,,12,1,,,,11,,,5,5,5,1,,,,,,,,1,,,,"0.00",,,,
Function,"IMU.readACCz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,1,,,,14,,,1,13,0,,,,,,,4,1,,12,1,,,,11,,,5,5,5,1,,,,,,,,1,,,,"0.00",,,,
Function,"IMU.readACCz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,2,,,,7,,,1,6,0,,,,,,,1,0,,7,1,,,,6,,,2,2,2,1,,,,,,,,0,,,,"0.00",,,,
Function,"IMU.readGYRx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,1,,,,14,,,1,13,0,,,,,,,4,1,,12,1,,,,11,,,5,5,5,1,,,,,,,,1,,,,"0.00",,,,
Function,"IMU.readGYRx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,1,,,,14,,,1,13,0,,,,,,,4,1,,12,1,,,,11,,,5,5,5,1,,,,,,,,1,,,,"0.00",,,,
Function,"IMU.readGYRx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,1,,,,14,,,1,13,0,,,,,,,4,1,,12,1,,,,11,,,5,5,5,1,,,,,,,,1,,,,"0.00",,,,
Function,"IMU.readGYRx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,2,,,,7,,,1,6,0,,,,,,,1,0,,7,1,,,,6,,,2,2,2,1,,,,,,,,0,,,,"0.00",,,,
Function,"IMU.readGYRy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,1,,,,14,,,1,13,0,,,,,,,4,1,,12,1,,,,11,,,5,5,5,1,,,,,,,,1,,,,"0.00",,,,
Function,"IMU.readGYRy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,1,,,,14,,,1,13,0,,,,,,,4,1,,12,1,,,,11,,,5,5,5,1,,,,,,,,1,,,,"0.00",,,,
Function,"IMU.readGYRy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,1,,,,14,,,1,13,0,,,,,,,4,1,,12,1,,,,11,,,5,5,5,1,,,,,,,,1,,,,"0.00",,,,
Function,"IMU.readGYRy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,2,,,,7,,,1,6,0,,,,,,,1,0,,7,1,,,,6,,,2,2,2,1,,,,,,,,0,,,,"0.00",,,,
Function,"IMU.readGYRz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,1,,,,14,,,1,13,0,,,,,,,4,1,,12,1,,,,11,,,5,5,5,1,,,,,,,,1,,,,"0.00",,,,
Function,"IMU.readGYRz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,1,,,,14,,,1,13,0,,,,,,,4,1,,12,1,,,,11,,,5,5,5,1,,,,,,,,1,,,,"0.00",,,,
Function,"IMU.readGYRz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,1,,,,14,,,1,13,0,,,,,,,4,1,,12,1,,,,11,,,5,5,5,1,,,,,,,,1,,,,"0.00",,,,
Function,"IMU.readGYRz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,2,,,,7,,,1,6,0,,,,,,,1,0,,7,1,,,,6,,,2,2,2,1,,,,,,,,0,,,,"0.00",,,,
Function,"IMU.readMAGx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,1,,,,14,,,1,13,0,,,,,,,4,1,,12,1,,,,11,,,5,5,5,1,,,,,,,,1,,,,"0.00",,,,
Function,"IMU.readMAGx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,1,,,,14,,,1,13,0,,,,,,,4,1,,12,1,,,,11,,,5,5,5,1,,,,,,,,1,,,,"0.00",,,,
Function,"IMU.readMAGx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,1,,,,14,,,1,13,0,,,,,,,4,1,,12,1,,,,11,,,5,5,5,1,,,,,,,,1,,,,"0.00",,,,
Function,"IMU.readMAGy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,1,,,,14,,,1,13,0,,,,,,,4,1,,12,1,,,,11,,,5,5,5,1,,,,,,,,1,,,,"0.00",,,,
Function,"IMU.readMAGy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,1,,,,14,,,1,13,0,,,,,,,4,1,,12,1,,,,11,,,5,5,5,1,,,,,,,,1,,,,"0.00",,,,
Function,"IMU.readMAGy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,1,,,,14,,,1,13,0,,,,,,,4,1,,12,1,,,,11,,,5,5,5,1,,,,,,,,1,,,,"0.00",,,,
Function,"IMU.readMAGz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,1,,,,14,,,1,13,0,,,,,,,4,1,,12,1,,,,11,,,5,5,5,1,,,,,,,,1,,,,"0.00",,,,
Function,"IMU.readMAGz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,1,,,,14,,,1,13,0,,,,,,,4,1,,12,1,,,,11,,,5,5,5,1,,,,,,,,1,,,,"0.00",,,,
Function,"IMU.readMAGz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,1,,,,14,,,1,13,0,,,,,,,4,1,,12,1,,,,11,,,5,5,5,1,,,,,,,,1,,,,"0.00",,,,
Function,"IMU.readReg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,0,,,,4,,,1,3,1,,,,,,,1,0,,4,1,,,,3,,,1,1,1,1,,,,,,,,0,,,,"0.25",,,,
Function,"IMU.writeByte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,0,,,,2,,,1,1,0,,,,,,,1,0,,2,1,,,,1,,,1,1,1,1,,,,,,,,0,,,,"0.00",,,,
Function,"IMU.writeByte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,0,,,,2,,,1,1,0,,,,,,,1,0,,2,1,,,,1,,,1,1,1,1,,,,,,,,0,,,,"0.00",,,,
Function,"IMU.writeByte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,0,,,,2,,,1,1,0,,,,,,,1,0,,2,1,,,,1,,,1,1,1,1,,,,,,,,0,,,,"0.00",,,,
Function,"IMU.writeByte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,0,,,,2,,,1,1,0,,,,,,,1,0,,2,1,,,,1,,,1,1,1,1,,,,,,,,0,,,,"0.00",,,,
Function,"IMU.writeReg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,0,,,,4,,,1,3,1,,,,,,,1,0,,4,1,,,,3,,,1,1,1,1,,,,,,,,0,,,,"0.25",,,,
Function,"IMU_I2C.initIMU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,1,,,,6,,,1,5,6,,,,,,,1,0,,6,1,,,,5,,,1,1,1,1,,,,,,,,0,,,,"1.00",,,,
Module File,"IMU_I2C.py",,,,,,,1,1,1,1,4,0,4,1,,,,,0,,,10,,,,9,,,,,,,,,,,,,,,,,,,,64,,,,15,,,,47,,,11,36,12,,,,,,,1,0,,47,11,,,,36,,,1,1,1,1,,2,2,2,1,,,0,,,,"0.26",16,16,16,10
Function,"IMU_I2C.readACCx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,0,,,,5,,,1,4,1,,,,,,,1,0,,5,1,,,,4,,,2,2,2,1,,,,,,,,0,,,,"0.20",,,,
Function,"IMU_I2C.readACCy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,0,,,,5,,,1,4,1,,,,,,,1,0,,5,1,,,,4,,,2,2,2,1,,,,,,,,0,,,,"0.20",,,,
Function,"IMU_I2C.readACCz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,0,,,,5,,,1,4,1,,,,,,,1,0,,5,1,,,,4,,,2,2,2,1,,,,,,,,0,,,,"0.20",,,,
Function,"IMU_I2C.readGYRx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,0,,,,5,,,1,4,1,,,,,,,1,0,,5,1,,,,4,,,2,2,2,1,,,,,,,,0,,,,"0.20",,,,
Function,"IMU_I2C.readGYRy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,0,,,,5,,,1,4,1,,,,,,,1,0,,5,1,,,,4,,,2,2,2,1,,,,,,,,0,,,,"0.20",,,,
Function,"IMU_I2C.readGYRz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,0,,,,5,,,1,4,1,,,,,,,1,0,,5,1,,,,4,,,2,2,2,1,,,,,,,,0,,,,"0.20",,,,
Function,"IMU_I2C.readReg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,0,,,,3,,,1,2,0,,,,,,,1,0,,3,1,,,,2,,,1,1,1,1,,,,,,,,0,,,,"0.00",,,,
Function,"IMU_I2C.writeReg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,0,,,,3,,,1,2,0,,,,,,,1,0,,3,1,,,,2,,,1,1,1,1,,,,,,,,0,,,,"0.00",,,,
Function,"IMU_SPI.initIMU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,2,,,,5,,,1,4,6,,,,,,,1,0,,5,1,,,,4,,,1,1,1,1,,,,,,,,0,,,,"1.20",,,,
Module File,"IMU_SPI.py",,,,,,,1,1,1,1,8,1,6,0,,,,,0,,,10,,,,9,,,,,,,,,,,,,,,,,,,,112,,,,40,,,,70,,,12,58,6,,,,,,,1,0,,70,12,,,,58,,,1,1,1,1,,2,2,2,1,,,0,,,,"0.09",16,16,16,10
Function,"IMU_SPI.readACCx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,1,,,,7,,,1,6,0,,,,,,,1,0,,7,1,,,,6,,,2,2,2,1,,,,,,,,0,,,,"0.00",,,,
Function,"IMU_SPI.readACCy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,2,,,,7,,,1,6,0,,,,,,,1,0,,7,1,,,,6,,,2,2,2,1,,,,,,,,0,,,,"0.00",,,,
Function,"IMU_SPI.readACCz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,2,,,,7,,,1,6,0,,,,,,,1,0,,7,1,,,,6,,,2,2,2,1,,,,,,,,0,,,,"0.00",,,,
Function,"IMU_SPI.readGYRx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,2,,,,7,,,1,6,0,,,,,,,1,0,,7,1,,,,6,,,2,2,2,1,,,,,,,,0,,,,"0.00",,,,
Function,"IMU_SPI.readGYRy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,2,,,,7,,,1,6,0,,,,,,,1,0,,7,1,,,,6,,,2,2,2,1,,,,,,,,0,,,,"0.00",,,,
Function,"IMU_SPI.readGYRz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,2,,,,7,,,1,6,0,,,,,,,1,0,,7,1,,,,6,,,2,2,2,1,,,,,,,,0,,,,"0.00",,,,
Function,"IMU_SPI.readReg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,0,,,,7,,,1,6,0,,,,,,,1,0,,7,1,,,,6,,,1,1,1,1,,,,,,,,0,,,,"0.00",,,,
Function,"IMU_SPI.writeReg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,0,,,,7,,,1,6,0,,,,,,,1,0,,7,1,,,,6,,,1,1,1,1,,,,,,,,0,,,,"0.00",,,,
Function,"INThandler",,,,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,,0,,,,5,,,1,2,1,,,,0,0,2,1,0,2,2,0,,,0,2,,,1,1,1,1,0,,,,,0,,0,0,,,"0.20",,,,
Function,"INThandler",,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,,0,,,,5,,,1,2,0,,,,0,0,2,1,0,2,2,0,,,0,2,,,1,1,1,1,0,,,,,0,,0,0,,,"0.00",,,,
